location,sowing_month,soil_type,nitrogen,phosphorus,potassium,ph,rainfall,humidity,crop_suitability
Coimbatore,Aug,Red Soil,52,53,106,7.2,1167,57,No
Krishnagiri,Aug,Red Soil,52,48,78,5.1,1264,71,No
Dharmapuri,Dec,Clay,35,17,52,6.8,1136,81,No
Erode,Jul,Sandy Loam,42,22,110,6.7,1054,66,No
Madurai,Jun,Red Soil,48,79,77,7.1,806,43,No
Karur,Jul,Black Soil,43,44,57,7.4,978,74,No
Namakkal,Oct,Red Soil,91,51,67,6.3,460,77,No
Namakkal,Sep,Black Soil,37,72,123,5.3,804,73,No
Namakkal,Dec,Sandy Loam,64,35,58,8.5,687,67,No
Salem,Nov,Black Soil,101,72,46,6.5,422,77,No
Trichy,Jan,Red Soil,101,25,83,6.5,844,42,No
Cuddalore,Apr,Clay,91,50,117,5.4,752,81,No
Tirunelveli,Jul,Sandy Loam,73,45,38,7.8,667,64,No
Erode,Jan,Black Soil,30,39,31,5.5,1094,47,No
Thoothukudi,Oct,Loamy,78,37,57,5.9,1167,60,No
Salem,Apr,Red Soil,38,71,67,5.4,1290,57,No
Erode,Nov,Red Soil,119,73,69,7.3,1155,76,No
Erode,Apr,Loamy,99,28,94,8.4,400,50,No
Dharmapuri,Feb,Black Soil,113,58,50,5.8,875,74,No
Namakkal,Oct,Red Soil,120,52,30,6.3,1271,87,No
Salem,Dec,Red Soil,79,49,103,6.8,635,89,No
Cuddalore,Jul,Red Soil,77,72,108,6.8,655,60,No
Thanjavur,Aug,Loamy,113,17,104,6.7,445,77,No
Erode,Oct,Clay,95,16,54,7.2,442,78,No
Dindigul,Aug,Loamy,74,76,104,7.7,696,52,No
Villupuram,May,Clay,62,18,104,6.3,737,52,No
Dharmapuri,Aug,Sandy Loam,58,41,79,8.1,1122,80,No
Villupuram,May,Loamy,72,58,89,8.5,1068,69,No
Tirunelveli,Jan,Clay,89,43,74,5.6,1212,57,No
Thoothukudi,Jun,Loamy,93,22,46,7.3,566,64,No
Coimbatore,Oct,Black Soil,81,22,60,5.1,1140,43,No
Coimbatore,Jan,Clay,35,17,78,5.3,1072,46,No
Namakkal,Sep,Sandy Loam,48,51,30,8.2,694,55,No
Erode,Mar,Clay,53,77,72,6.4,537,78,No
Trichy,Apr,Black Soil,115,28,72,7.3,1198,86,No
Karur,Apr,Red Soil,59,54,87,6.2,1048,40,No
Karur,Oct,Clay,63,35,72,7.1,688,49,No
Tirunelveli,Jun,Sandy Loam,104,42,120,5.1,404,68,No
Erode,Jan,Black Soil,54,78,71,6.3,567,48,No
Dindigul,Mar,Red Soil,51,49,78,7.6,819,60,No
Thoothukudi,Jan,Clay,127,34,45,7.1,612,50,No
Thanjavur,Nov,Red Soil,121,35,113,4.6,626,85,No
Salem,Mar,Sandy Loam,116,56,82,8.1,1295,85,No
Dharmapuri,Mar,Loamy,58,44,67,4.7,636,56,No
Dindigul,Sep,Black Soil,99,31,126,4.7,677,85,No
Cuddalore,Nov,Red Soil,101,67,91,7.9,1222,78,No
Karur,Feb,Sandy Loam,64,44,81,6.0,1026,46,No
Cuddalore,Jul,Loamy,83,49,95,5.6,1194,80,No
Thoothukudi,Apr,Red Soil,82,71,116,5.5,1220,57,No
Villupuram,May,Red Soil,126,26,67,7.8,913,71,No
Dindigul,Jun,Black Soil,127,62,111,5.5,1174,48,No
Trichy,Oct,Loamy,64,72,122,5.1,587,48,No
Trichy,Mar,Red Soil,39,41,121,6.2,725,71,No
Cuddalore,Apr,Clay,36,54,93,5.0,477,80,No
Villupuram,Feb,Clay,73,53,38,7.3,601,49,No
Dindigul,Apr,Loamy,92,67,63,8.1,1270,73,No
Krishnagiri,Apr,Black Soil,98,62,46,8.3,1013,73,No
Dharmapuri,Mar,Black Soil,51,69,96,7.5,1128,57,No
Coimbatore,Jul,Clay,105,58,38,5.5,995,54,No
Madurai,Apr,Sandy Loam,65,39,75,5.0,1085,74,No
Thanjavur,Nov,Loamy,127,38,109,7.5,1034,54,No
Dharmapuri,Jun,Sandy Loam,113,16,93,7.5,918,51,No
Dharmapuri,Jun,Clay,129,43,110,7.2,991,67,No
Trichy,Aug,Red Soil,93,44,58,5.6,921,62,No
Krishnagiri,Jul,Sandy Loam,120,69,45,6.9,1025,89,No
Dharmapuri,Nov,Black Soil,111,48,104,4.6,1246,72,No
Coimbatore,Sep,Loamy,66,18,127,5.4,582,73,No
Thoothukudi,May,Clay,58,35,111,7.5,948,85,No
Salem,Aug,Loamy,120,37,81,6.8,427,59,No
Trichy,Jul,Clay,102,18,124,4.8,599,87,No
Dindigul,Aug,Sandy Loam,90,33,63,7.8,1220,47,No
Trichy,Jul,Clay,71,23,106,7.2,1012,73,No
Dindigul,Oct,Red Soil,109,19,40,6.3,955,58,No
Thanjavur,Aug,Red Soil,79,71,91,5.7,418,40,No
Karur,Sep,Red Soil,59,32,68,6.0,936,88,No
Erode,Dec,Red Soil,35,78,97,7.2,921,78,No
Villupuram,Nov,Loamy,92,72,46,6.6,1220,70,No
Tirunelveli,Apr,Sandy Loam,83,23,82,7.6,957,66,No
Karur,Dec,Clay,118,36,103,7.9,617,53,No
Namakkal,Nov,Clay,33,53,129,7.6,1246,42,No
Cuddalore,Oct,Red Soil,106,42,118,5.6,876,61,No
Dharmapuri,Aug,Black Soil,82,22,93,7.0,1028,54,No
Dindigul,Feb,Black Soil,92,76,71,6.5,631,86,No
Villupuram,Nov,Sandy Loam,53,72,73,6.3,851,84,No
Dindigul,Oct,Loamy,91,51,57,6.0,764,89,No
Krishnagiri,Nov,Sandy Loam,93,57,121,7.9,1218,75,No
Madurai,Oct,Red Soil,53,41,121,5.1,604,89,No
Krishnagiri,Jan,Black Soil,38,49,95,8.2,1039,41,No
Trichy,Jul,Clay,74,21,111,6.8,408,41,No
Tirunelveli,Oct,Red Soil,111,18,64,6.1,1255,60,No
Dharmapuri,Jul,Loamy,55,41,41,5.4,722,49,No
Coimbatore,Jun,Sandy Loam,125,32,115,8.0,989,52,No
Villupuram,Dec,Clay,55,56,125,7.6,779,52,No
Trichy,Feb,Sandy Loam,97,75,44,8.1,1026,60,No
Thoothukudi,Dec,Red Soil,109,71,32,4.7,1102,49,No
Namakkal,May,Clay,104,60,107,7.3,929,79,No
Namakkal,Jul,Sandy Loam,32,27,118,5.9,791,51,No
Dindigul,Sep,Sandy Loam,116,52,76,4.7,806,78,No
Madurai,Feb,Red Soil,45,46,121,5.5,1160,67,No
Tirunelveli,Oct,Black Soil,118,74,54,5.5,1028,84,No
Erode,Apr,Black Soil,108,66,34,5.7,1155,80,No
Krishnagiri,Apr,Clay,41,15,88,6.8,893,48,No
Karur,May,Clay,118,43,36,7.5,834,59,No
Tirunelveli,Aug,Loamy,76,56,119,6.9,717,89,No
Thoothukudi,May,Clay,59,19,49,6.7,1141,68,No
Dharmapuri,Jun,Black Soil,128,46,61,6.6,527,81,No
Villupuram,May,Clay,55,56,111,6.7,878,79,No
Madurai,Jul,Red Soil,127,19,79,5.2,1010,51,No
Villupuram,Jun,Red Soil,65,52,44,6.5,1167,66,No
Thanjavur,Mar,Red Soil,62,19,71,7.4,948,78,No
Trichy,Mar,Loamy,85,48,101,7.0,1041,56,Yes
Villupuram,Jun,Loamy,88,59,103,4.5,938,65,No
Karur,Apr,Black Soil,106,23,34,6.5,1242,79,No
Namakkal,Sep,Red Soil,47,49,89,7.9,1150,40,No
Namakkal,Aug,Clay,118,28,75,5.0,734,61,No
Erode,Jul,Sandy Loam,73,28,34,7.0,709,75,No
Salem,Apr,Black Soil,74,19,67,6.3,1018,65,No
Dharmapuri,Sep,Loamy,112,63,59,5.9,1130,51,No
Dharmapuri,Apr,Red Soil,89,37,87,5.2,1171,65,No
Dindigul,Feb,Red Soil,105,54,33,5.1,782,77,No
Dindigul,Jun,Black Soil,103,56,85,5.4,651,76,No
Coimbatore,Oct,Sandy Loam,59,38,106,5.6,657,66,No
Villupuram,Jan,Sandy Loam,61,24,34,7.3,687,77,No
Krishnagiri,Oct,Red Soil,107,59,92,6.5,1077,59,No
Madurai,Jun,Loamy,70,74,68,5.0,813,42,No
Dharmapuri,Jul,Clay,93,68,116,5.9,454,50,No
Namakkal,Jan,Clay,104,43,60,7.8,407,80,No
Tirunelveli,Mar,Clay,103,58,82,7.5,1258,52,No
Trichy,Dec,Black Soil,63,52,40,5.0,781,77,No
Erode,Apr,Sandy Loam,44,68,37,7.1,1020,57,No
Cuddalore,May,Sandy Loam,79,21,67,6.1,1156,77,No
Namakkal,Dec,Sandy Loam,76,40,67,7.3,1034,57,No
Krishnagiri,Feb,Black Soil,31,26,93,8.3,562,56,No
Namakkal,Mar,Black Soil,41,62,74,7.1,1065,66,No
Madurai,Oct,Clay,114,63,58,6.6,488,52,No
Trichy,Apr,Black Soil,39,23,67,7.4,1182,81,No
Thanjavur,Jun,Black Soil,76,66,127,4.7,444,58,No
Krishnagiri,Oct,Red Soil,59,57,57,6.8,992,61,No
Karur,Aug,Clay,123,24,46,5.6,739,72,No
Villupuram,Oct,Sandy Loam,85,43,71,4.6,940,88,No
Thoothukudi,May,Loamy,77,38,51,8.0,992,61,No
Madurai,Nov,Black Soil,89,42,129,5.6,439,87,No
Krishnagiri,May,Loamy,109,59,116,7.3,637,46,No
Madurai,Jan,Red Soil,63,19,77,7.5,506,74,No
Coimbatore,Oct,Loamy,113,59,72,6.2,1248,47,No
Trichy,Aug,Loamy,48,45,54,4.5,1190,57,No
Thanjavur,Nov,Red Soil,80,27,37,5.3,1256,49,No
Dindigul,Jan,Black Soil,49,53,103,8.0,1252,51,No
Dindigul,Jul,Black Soil,124,58,55,6.6,472,84,No
Karur,Oct,Clay,52,68,36,4.7,666,82,No
Erode,Aug,Sandy Loam,38,17,101,5.6,1161,84,No
Erode,Jul,Clay,129,60,45,7.5,835,63,No
Coimbatore,Sep,Sandy Loam,105,68,60,5.5,1199,53,No
Villupuram,Sep,Sandy Loam,88,57,111,6.9,1215,41,No
Villupuram,Apr,Clay,127,66,98,6.7,694,86,No
Villupuram,Jul,Red Soil,90,76,53,7.4,521,55,No
Thanjavur,Feb,Red Soil,98,67,75,7.4,851,40,No
Salem,Nov,Red Soil,101,66,118,6.8,913,66,No
Thoothukudi,May,Loamy,79,77,60,7.8,819,55,No
Coimbatore,Oct,Sandy Loam,44,58,121,7.4,577,48,No
Villupuram,Jun,Sandy Loam,97,77,102,4.8,1214,63,No
Tirunelveli,Feb,Clay,115,17,129,5.0,1198,66,No
Thoothukudi,Jul,Black Soil,65,37,63,8.0,805,75,No
Krishnagiri,Jun,Loamy,101,34,86,7.9,1112,64,No
Thanjavur,Dec,Clay,86,43,129,6.2,705,44,No
Coimbatore,Jul,Clay,110,58,77,4.5,1243,62,No
Krishnagiri,Nov,Sandy Loam,99,39,36,7.9,745,79,No
Trichy,Mar,Sandy Loam,120,15,84,6.0,898,70,No
Madurai,Apr,Loamy,85,56,60,6.0,1170,74,No
Coimbatore,Jan,Red Soil,62,73,93,5.7,932,51,No
Thanjavur,Oct,Red Soil,85,56,56,4.7,824,85,No
Krishnagiri,Jan,Black Soil,31,76,46,4.6,1246,57,No
Namakkal,Sep,Sandy Loam,89,27,53,7.0,1135,48,No
Dindigul,Dec,Black Soil,42,22,63,6.4,733,89,No
Tirunelveli,Sep,Clay,107,55,84,4.5,1157,47,No
Coimbatore,Sep,Loamy,53,19,47,4.7,883,47,No
Trichy,Mar,Black Soil,33,15,119,5.0,966,65,No
Trichy,Jul,Red Soil,107,74,118,8.0,424,54,No
Erode,May,Loamy,113,76,67,7.0,512,88,No
Namakkal,Sep,Loamy,68,30,58,5.5,808,65,Yes
Coimbatore,Oct,Red Soil,52,66,110,5.2,1293,84,No
Trichy,Oct,Clay,69,53,62,7.7,691,79,No
Thanjavur,Jan,Clay,76,79,59,5.2,1184,79,No
Cuddalore,Feb,Clay,53,50,61,8.4,466,52,No
Villupuram,Dec,Loamy,51,69,99,4.8,1137,47,No
Madurai,Oct,Black Soil,114,65,79,7.5,501,88,No
Villupuram,Sep,Black Soil,103,20,76,5.1,659,84,No
Coimbatore,Sep,Loamy,75,36,58,5.2,838,40,No
Krishnagiri,Jun,Loamy,56,37,101,4.6,1172,53,No
Villupuram,May,Loamy,71,61,105,7.7,949,75,No
Trichy,Dec,Sandy Loam,59,66,113,5.6,869,87,No
Madurai,Jan,Clay,73,30,102,7.8,789,50,No
Krishnagiri,Sep,Red Soil,70,63,48,4.9,924,63,No
Madurai,Jan,Clay,109,75,105,6.0,1182,48,No
Dharmapuri,Jul,Clay,69,77,46,8.3,1103,58,No
Namakkal,Oct,Loamy,38,76,60,7.6,1253,82,No
Tirunelveli,Apr,Loamy,67,19,79,5.1,641,67,No
Villupuram,Jan,Red Soil,74,33,128,8.0,1090,80,No
Karur,Oct,Loamy,49,63,109,5.7,1138,84,No
Erode,May,Sandy Loam,67,25,40,6.0,1264,73,No
Salem,Jan,Black Soil,72,31,110,4.6,1174,45,No
Trichy,Aug,Clay,116,53,91,6.8,439,78,No
Dharmapuri,Oct,Red Soil,122,47,46,5.2,1205,45,No
Thoothukudi,May,Clay,91,76,128,5.0,509,88,No
Thoothukudi,Dec,Red Soil,52,66,101,7.5,850,82,No
Dindigul,Jul,Loamy,111,55,96,8.0,835,72,No
Namakkal,Aug,Clay,44,70,83,5.2,1168,67,No
Madurai,Sep,Clay,120,56,108,7.3,865,44,No
Dindigul,Sep,Sandy Loam,86,45,56,5.3,558,77,No
Madurai,Sep,Black Soil,37,46,48,7.8,611,74,No
Trichy,Jun,Clay,36,26,77,6.0,779,68,No
Coimbatore,Jan,Sandy Loam,37,64,99,6.0,1176,77,No
Dharmapuri,Sep,Black Soil,88,48,125,4.9,443,42,No
Dharmapuri,May,Black Soil,96,51,110,7.3,845,70,No
Dharmapuri,Jul,Red Soil,109,21,31,8.4,840,85,No
Tirunelveli,Sep,Sandy Loam,119,21,96,7.7,577,86,No
Dharmapuri,Dec,Clay,94,29,89,8.1,420,60,No
Salem,Nov,Red Soil,116,45,126,6.9,495,63,No
Dharmapuri,Apr,Loamy,110,34,124,7.0,1260,62,No
Erode,Feb,Sandy Loam,95,61,124,8.3,1042,54,No
Thanjavur,May,Clay,56,41,71,7.6,798,41,No
Namakkal,Jul,Sandy Loam,53,25,52,4.5,672,59,No
Madurai,Nov,Black Soil,71,31,88,7.8,1067,51,No
Salem,Jun,Red Soil,100,20,108,5.9,951,75,No
Tirunelveli,Dec,Sandy Loam,66,23,67,6.2,770,63,No
Villupuram,Jul,Black Soil,33,45,63,6.4,854,49,No
Thanjavur,Jul,Loamy,91,15,83,5.0,401,71,No
Erode,Jan,Sandy Loam,80,24,47,4.7,551,51,No
Madurai,Oct,Clay,88,70,68,6.6,880,81,No
Dindigul,Nov,Sandy Loam,128,44,81,8.1,624,45,No
Villupuram,Mar,Black Soil,78,15,74,7.1,608,71,No
Salem,Aug,Clay,68,36,122,5.7,659,75,No
Karur,Jul,Black Soil,78,74,125,7.7,525,74,No
Villupuram,Aug,Loamy,101,54,65,6.6,496,46,No
Coimbatore,Jan,Clay,61,30,106,6.8,942,70,No
Trichy,Oct,Black Soil,81,27,73,4.7,566,58,No
Madurai,May,Loamy,72,49,117,6.1,750,66,No
Coimbatore,May,Red Soil,54,70,81,6.8,730,67,No
Cuddalore,Apr,Sandy Loam,90,48,127,5.7,804,89,No
Krishnagiri,Oct,Black Soil,55,37,118,6.2,884,44,No
Krishnagiri,Apr,Sandy Loam,46,23,65,5.1,1271,78,No
Trichy,Jun,Clay,54,71,118,5.4,1119,66,No
Thoothukudi,Feb,Sandy Loam,82,33,57,6.4,1134,74,No
Madurai,Apr,Red Soil,111,16,33,5.8,756,48,No
Tirunelveli,Jun,Loamy,33,29,60,7.2,477,89,No
Madurai,Feb,Sandy Loam,70,37,73,8.4,612,71,No
Karur,Sep,Red Soil,68,24,75,6.6,1131,83,No
Cuddalore,Dec,Sandy Loam,60,35,64,7.6,532,57,No
Tirunelveli,May,Red Soil,72,56,101,5.8,942,58,No
Namakkal,Nov,Clay,86,67,94,4.7,409,58,No
Dindigul,Jun,Red Soil,39,33,33,7.6,764,84,No
Dindigul,Nov,Clay,70,39,95,8.3,893,40,No
Madurai,Oct,Black Soil,37,61,37,7.6,623,54,No
Madurai,May,Black Soil,83,38,54,7.2,1078,86,No
Karur,Aug,Clay,102,34,111,6.9,927,48,No
Tirunelveli,Jan,Loamy,31,31,58,7.4,715,71,No
Krishnagiri,May,Black Soil,48,26,36,7.1,425,67,No
Villupuram,Jan,Black Soil,59,50,56,6.5,562,72,No
Cuddalore,Jun,Clay,67,71,114,6.0,827,43,No
Salem,Oct,Red Soil,61,64,105,8.0,899,78,No
Trichy,Mar,Loamy,93,42,127,7.1,746,87,No
Dindigul,Mar,Sandy Loam,54,29,83,8.0,1214,50,No
Madurai,Jun,Black Soil,129,62,73,5.7,736,79,No
Thanjavur,Mar,Sandy Loam,90,21,37,6.2,705,54,No
Thoothukudi,May,Black Soil,40,55,109,8.3,1174,82,No
Tirunelveli,Dec,Red Soil,98,45,95,5.1,1287,53,No
Erode,Feb,Loamy,119,53,114,5.7,962,44,No
Karur,Sep,Sandy Loam,71,22,59,8.4,1148,69,No
Karur,Apr,Sandy Loam,111,35,99,7.0,887,50,No
Trichy,Jul,Clay,46,60,60,8.0,1042,65,No
Thanjavur,Nov,Black Soil,129,27,95,8.2,1265,78,No
Thoothukudi,May,Loamy,89,58,51,6.9,1011,59,Yes
Madurai,Nov,Loamy,84,48,55,7.4,763,69,No
Thoothukudi,Apr,Loamy,39,36,125,4.8,1275,80,No
Thanjavur,Dec,Loamy,48,43,126,8.3,1138,44,No
Namakkal,Mar,Clay,63,21,119,5.5,898,89,No
Trichy,Jun,Sandy Loam,63,31,47,6.8,630,64,No
Salem,Aug,Black Soil,100,79,85,8.0,608,73,No
Villupuram,Apr,Sandy Loam,80,39,51,7.0,995,66,Yes
Villupuram,Apr,Clay,85,27,45,8.2,546,72,No
Krishnagiri,Aug,Loamy,52,60,34,7.2,695,74,No
Namakkal,Jul,Red Soil,107,37,62,8.1,754,83,No
Tirunelveli,Feb,Loamy,121,64,87,6.7,1223,57,No
Cuddalore,May,Clay,76,33,96,7.3,596,52,No
Cuddalore,Jan,Red Soil,77,44,36,7.6,802,77,No
Villupuram,Feb,Clay,112,58,44,6.2,599,55,No
Krishnagiri,Apr,Red Soil,42,75,108,8.1,760,54,No
Salem,Jun,Loamy,59,32,91,4.7,586,66,No
Namakkal,Jul,Red Soil,71,53,82,7.1,1082,58,No
Dindigul,Jan,Loamy,101,35,113,4.5,610,82,No
Salem,Oct,Black Soil,105,72,124,7.3,560,56,No
Trichy,Apr,Black Soil,44,47,52,5.1,905,86,No
Cuddalore,Mar,Clay,117,69,101,5.9,862,49,No
Cuddalore,May,Loamy,106,18,113,5.4,679,76,No
Salem,Feb,Sandy Loam,88,19,43,6.0,777,68,No
Karur,Oct,Black Soil,47,41,69,4.7,1111,45,No
Tirunelveli,Sep,Loamy,86,46,128,4.7,598,42,No
Coimbatore,Aug,Loamy,30,59,89,5.7,902,51,No
Coimbatore,Sep,Red Soil,69,35,71,7.7,1128,67,No
Thanjavur,Dec,Red Soil,83,65,109,5.7,1019,79,No
Tirunelveli,Oct,Sandy Loam,104,63,117,6.9,460,44,No
Salem,Jun,Sandy Loam,34,48,52,7.6,1096,88,No
Tirunelveli,Jul,Black Soil,41,33,75,8.4,565,58,No
Erode,Jul,Sandy Loam,64,47,87,6.8,609,79,No
Tirunelveli,Nov,Red Soil,69,43,75,8.4,657,41,No
Cuddalore,Sep,Loamy,72,63,76,8.2,741,74,No
Thanjavur,Oct,Loamy,102,78,64,7.1,1199,49,No
Madurai,Jul,Loamy,81,34,78,5.1,1029,61,No
Dindigul,Jun,Red Soil,124,18,50,6.6,1151,51,No
Dharmapuri,Apr,Loamy,30,65,88,8.1,1061,84,No
Krishnagiri,Oct,Loamy,76,16,120,5.5,1047,87,No
Trichy,Aug,Clay,35,24,107,4.6,695,55,No
Erode,Feb,Loamy,41,27,100,6.5,814,44,No
Thanjavur,Oct,Clay,44,54,124,8.3,515,78,No
Trichy,Sep,Clay,59,20,69,6.5,448,79,No
Coimbatore,Sep,Clay,92,40,84,7.6,644,48,No
Namakkal,Jul,Black Soil,71,15,53,7.2,1235,48,No
Namakkal,Oct,Loamy,36,45,76,7.9,1243,77,No
Tirunelveli,Jul,Sandy Loam,51,21,85,7.3,953,47,No
Dharmapuri,Dec,Clay,119,75,64,6.3,704,72,No
Thoothukudi,Mar,Loamy,49,66,38,6.9,859,68,No
Thoothukudi,Mar,Loamy,52,27,58,5.4,1228,65,No
Trichy,Mar,Sandy Loam,68,73,69,7.4,721,76,No
Karur,Sep,Loamy,61,76,124,7.1,1201,65,No
Thanjavur,Aug,Black Soil,102,78,38,8.4,708,66,No
Coimbatore,Nov,Black Soil,78,59,42,7.7,991,80,No
Thoothukudi,Oct,Clay,37,48,129,6.2,847,74,No
Trichy,Oct,Black Soil,100,54,34,6.2,646,75,No
Trichy,Feb,Loamy,44,48,126,7.5,1170,85,No
Cuddalore,Aug,Black Soil,60,74,104,4.5,703,48,No
Namakkal,Mar,Red Soil,61,17,98,8.4,1100,80,No
Villupuram,Jan,Clay,87,44,33,4.6,1162,54,No
Thanjavur,Aug,Clay,106,57,64,6.8,1184,42,No
Dharmapuri,May,Clay,122,45,30,6.8,1055,58,No
Karur,May,Loamy,41,44,55,5.7,1192,60,No
Salem,Feb,Loamy,98,15,102,5.7,722,68,No
Salem,Apr,Clay,61,62,32,4.9,1078,43,No
Dindigul,Jan,Clay,45,34,45,6.7,909,84,No
Dindigul,Feb,Clay,45,18,123,5.0,1185,75,No
Thoothukudi,Jan,Sandy Loam,77,24,69,6.1,619,56,No
Cuddalore,Aug,Red Soil,71,23,93,5.7,735,63,No
Coimbatore,Jan,Clay,33,42,71,7.8,851,70,No
Salem,Jun,Black Soil,94,75,81,6.6,417,83,No
Namakkal,Oct,Red Soil,120,15,107,5.8,444,78,No
Thoothukudi,Jan,Black Soil,73,72,105,6.8,1094,63,No
Erode,Jun,Clay,97,15,88,5.2,664,59,No
Erode,Sep,Black Soil,109,72,68,6.9,615,64,No
Madurai,Jul,Clay,63,62,47,6.4,582,49,No
Salem,Apr,Clay,63,48,34,8.2,995,48,No
Thoothukudi,Jun,Black Soil,117,18,70,4.6,1243,67,No
Thanjavur,Sep,Loamy,33,23,92,7.5,1209,64,No
Krishnagiri,Nov,Sandy Loam,31,16,65,7.6,1097,84,No
Karur,Apr,Clay,113,30,122,7.7,765,55,No
Dharmapuri,Apr,Sandy Loam,61,78,67,8.2,581,59,No
Tirunelveli,Feb,Sandy Loam,81,17,41,7.5,529,87,No
Karur,May,Clay,44,43,87,4.8,857,48,No
Dindigul,Dec,Sandy Loam,91,54,52,8.3,872,66,No
Cuddalore,May,Loamy,52,28,114,4.7,669,68,No
Dindigul,Dec,Clay,108,35,89,7.7,809,71,No
Dharmapuri,Oct,Red Soil,71,33,67,5.8,1052,76,No
Erode,Mar,Black Soil,82,73,129,6.0,838,75,No
Villupuram,Nov,Red Soil,52,75,58,4.9,729,50,No
Thoothukudi,Mar,Black Soil,42,68,48,6.9,993,69,No
Cuddalore,Oct,Loamy,78,70,70,6.9,1214,73,No
Madurai,Jul,Clay,121,20,84,5.4,1045,69,No
Cuddalore,Sep,Black Soil,32,71,106,7.8,841,58,No
Krishnagiri,Jan,Red Soil,89,75,102,8.3,990,79,No
Krishnagiri,Jun,Black Soil,47,62,84,6.2,1127,80,No
Karur,Apr,Loamy,38,57,97,6.3,1288,83,No
Thanjavur,Jun,Loamy,48,75,82,7.8,745,69,No
Dindigul,Jun,Red Soil,99,73,115,7.7,1276,55,No
Trichy,Jan,Sandy Loam,33,55,64,7.9,686,45,No
Madurai,Oct,Loamy,129,15,60,7.9,911,71,No
Dharmapuri,May,Sandy Loam,65,33,73,6.3,989,41,No
Namakkal,Feb,Loamy,95,22,100,6.2,1051,67,No
Villupuram,Oct,Red Soil,32,28,118,7.1,723,66,No
Thoothukudi,Jun,Loamy,76,69,54,6.0,559,79,No
Salem,Jun,Red Soil,77,67,57,8.4,811,56,No
Dharmapuri,Oct,Loamy,34,28,48,6.2,1183,43,No
Krishnagiri,Feb,Red Soil,106,34,53,7.4,1003,84,No
Coimbatore,Dec,Loamy,82,71,114,6.5,710,89,No
Dindigul,May,Red Soil,125,63,43,7.7,1267,61,No
