temperature,humidity,rainfall,soil_moisture,nitrogen,month,irrigation_hours,disease_risk,heat_stress
37.9,56,43,66,41,12,0,0,2
37.3,82,164,22,54,12,0,2,2
31.1,90,86,64,47,2,0,2,1
39.5,70,184,28,52,4,0,1,2
27.8,42,75,52,51,9,0,0,0
37.9,72,128,53,56,11,0,1,2
23.2,52,107,56,52,5,0,0,0
38.0,80,156,59,87,11,0,1,2
19.1,42,103,32,92,4,0,0,0
31.2,62,2,37,115,12,1,0,1
22.2,58,97,48,70,8,0,0,0
21.2,55,135,38,49,11,0,0,0
41.2,44,137,71,57,12,0,0,2
29.3,55,69,74,59,7,0,0,0
27.1,52,110,60,60,10,0,0,0
41.1,49,41,21,101,2,0,0,2
22.5,62,18,39,76,9,1,0,0
24.3,92,81,29,43,3,0,2,0
19.1,56,62,66,81,3,0,0,0
19.4,91,135,31,93,3,0,2,0
20.0,71,11,80,50,5,1,1,0
28.9,85,101,54,81,5,0,2,0
25.1,61,30,60,75,12,1,0,0
22.0,76,53,39,42,10,0,1,0
19.2,90,184,34,47,1,0,2,0
27.7,84,176,20,53,6,0,2,0
20.9,91,65,75,95,11,0,2,0
30.7,53,11,50,82,7,1,0,1
25.8,80,31,20,108,1,2,1,0
22.4,62,104,24,117,3,0,0,0
39.5,53,34,41,50,12,3,0,2
33.6,74,77,67,101,9,0,1,1
32.0,82,161,70,69,2,0,2,1
21.7,48,57,76,42,5,0,0,0
18.8,58,128,51,114,12,0,0,0
32.5,65,119,20,65,3,0,0,1
27.4,76,200,48,79,4,0,1,0
23.7,40,63,72,115,6,0,0,0
33.2,87,192,47,68,2,0,2,1
25.8,56,133,77,73,6,0,0,0
40.4,57,39,69,113,11,3,0,2
41.8,50,84,70,101,5,0,0,2
41.4,71,188,28,73,1,0,1,2
29.4,85,171,59,97,8,0,2,0
27.2,48,101,76,115,2,0,0,0
25.8,45,105,77,56,10,0,0,0
21.1,61,46,59,78,3,0,0,0
19.0,94,157,48,53,9,0,2,0
39.7,69,91,40,114,1,0,1,2
27.6,69,195,51,55,7,0,1,0
30.3,57,122,41,49,5,0,0,1
29.0,65,17,47,73,4,1,0,0
19.2,46,187,49,96,5,0,0,0
26.4,42,179,64,72,11,0,0,0
38.1,91,38,49,75,8,3,1,2
18.7,87,109,54,108,4,0,2,0
40.8,72,124,53,43,9,0,1,2
33.8,72,139,50,66,5,0,1,1
36.0,82,122,80,96,2,0,2,1
30.3,61,92,80,86,1,0,0,1
36.0,44,116,20,61,4,0,0,1
41.6,62,171,29,57,6,0,0,2
20.4,55,65,23,58,4,0,0,0
24.3,54,162,28,75,11,0,0,0
39.6,47,161,77,80,5,0,0,2
26.3,90,107,24,40,3,0,2,0
37.6,53,85,45,61,3,0,0,2
32.1,45,16,54,53,7,1,0,1
38.0,85,167,70,98,4,0,2,2
18.2,94,85,20,74,5,0,2,0
42.0,40,75,59,109,12,0,0,2
18.2,47,159,32,49,9,0,0,0
35.8,70,15,34,59,8,3,1,1
23.0,95,141,50,81,8,0,2,0
32.6,75,131,45,64,3,0,1,1
26.1,66,104,52,85,7,0,1,0
38.4,92,62,53,81,7,0,2,2
25.4,94,99,45,74,2,0,2,0
30.2,89,60,61,47,9,0,2,1
38.0,64,83,49,47,8,0,0,2
21.3,89,107,80,88,8,0,2,0
24.2,48,135,56,95,7,0,0,0
34.0,82,38,66,99,11,1,1,1
19.7,61,148,50,106,9,0,0,0
18.6,55,121,45,92,9,0,0,0
36.6,41,150,23,92,6,0,0,2
41.4,88,77,31,43,8,0,2,2
24.5,81,52,50,117,4,0,2,0
31.1,81,197,68,106,6,0,2,1
26.8,48,33,25,72,4,2,0,0
28.1,57,196,58,60,9,0,0,0
29.8,64,183,67,80,10,0,0,0
22.7,40,115,45,47,8,0,0,0
26.8,84,78,48,97,1,0,2,0
33.9,92,192,39,59,7,0,2,1
34.4,67,27,60,68,3,1,1,1
40.6,52,66,32,63,2,0,0,2
23.4,64,2,75,67,3,1,0,0
26.7,66,57,44,68,9,0,1,0
29.1,43,144,80,68,7,0,0,0
22.4,42,139,46,112,9,0,0,0
24.7,79,146,72,92,7,0,1,0
31.9,70,32,25,110,4,2,1,1
28.9,45,53,34,120,10,0,0,0
19.9,67,138,58,65,7,0,1,0
39.9,66,54,60,81,3,0,1,2
34.6,94,197,55,115,2,0,2,1
23.9,49,122,62,94,8,0,0,0
38.4,70,158,37,104,9,0,1,2
21.9,92,167,35,82,3,0,2,0
32.3,74,119,36,98,11,0,1,1
29.3,82,43,70,53,1,0,1,0
35.9,79,130,21,63,9,0,1,1
23.2,56,144,69,54,1,0,0,0
40.5,62,182,42,57,5,0,0,2
19.0,41,85,27,119,11,0,0,0
28.6,76,185,29,61,1,0,1,0
36.2,95,47,75,112,5,0,1,2
40.2,62,110,46,52,4,0,0,2
29.3,80,10,24,64,2,2,1,0
26.1,86,102,78,48,11,0,2,0
25.8,92,171,49,69,11,0,2,0
26.5,65,197,41,103,6,0,0,0
32.5,66,112,56,117,4,0,1,1
21.9,48,196,70,60,5,0,0,0
33.2,87,172,40,93,4,0,2,1
41.2,52,12,79,74,7,3,0,2
30.5,56,190,46,87,9,0,0,1
38.3,76,167,80,95,9,0,1,2
18.4,70,71,23,55,12,0,1,0
33.5,93,105,70,106,6,0,2,1
34.0,40,7,34,53,2,1,0,1
26.0,53,37,79,94,5,1,0,0
32.1,79,135,48,83,1,0,1,1
28.1,41,128,69,84,1,0,0,0
27.2,86,153,38,78,10,0,2,0
18.4,48,34,43,72,5,1,0,0
25.7,70,86,33,86,9,0,1,0
30.9,92,46,65,52,7,0,1,1
36.5,93,157,42,52,12,0,2,2
30.4,75,95,52,102,1,0,1,1
40.1,85,89,32,41,5,0,2,2
24.2,87,114,60,59,7,0,2,0
30.0,60,182,24,65,11,0,0,0
37.9,60,90,47,95,3,0,0,2
29.1,95,121,78,47,6,0,2,0
19.5,75,94,69,85,7,0,1,0
36.1,70,164,29,92,8,0,1,2
35.4,80,145,51,118,10,0,1,1
22.3,84,129,64,70,9,0,2,0
22.6,43,2,22,114,7,2,0,0
25.9,73,182,22,108,7,0,1,0
18.8,41,151,79,50,6,0,0,0
35.7,78,97,35,97,4,0,1,1
21.8,92,148,53,92,5,0,2,0
25.5,54,18,59,66,7,1,0,0
23.3,88,73,75,86,9,0,2,0
32.4,51,150,69,45,8,0,0,1
30.0,59,48,49,98,1,0,0,0
33.8,69,193,80,46,5,0,1,1
34.0,86,180,43,65,1,0,2,1
25.4,46,45,56,101,8,0,0,0
21.0,90,134,39,111,2,0,2,0
29.9,83,108,43,62,4,0,2,0
25.2,93,128,28,120,4,0,2,0
35.0,73,30,63,79,4,1,1,1
33.5,83,75,26,94,6,0,2,1
31.2,62,51,52,43,3,0,0,1
31.1,56,117,41,68,3,0,0,1
32.8,50,49,23,73,4,0,0,1
27.6,80,157,71,88,2,0,1,0
39.0,41,160,36,94,1,0,0,2
36.2,78,2,56,67,12,3,1,2
34.3,83,133,75,62,9,0,2,1
37.8,86,82,66,100,5,0,2,2
35.8,81,97,59,63,9,0,2,1
33.3,95,192,70,50,7,0,2,1
19.1,68,180,70,111,7,0,1,0
28.8,52,150,24,50,9,0,0,0
22.9,60,100,66,80,10,0,0,0
26.1,91,130,55,40,10,0,2,0
38.7,67,23,24,102,4,3,1,2
34.5,61,87,22,96,4,0,0,1
30.6,72,157,59,111,5,0,1,1
34.1,77,198,55,79,5,0,1,1
32.0,61,34,80,66,9,1,0,1
41.2,71,62,60,62,7,0,1,2
20.7,58,103,72,40,5,0,0,0
38.9,48,28,41,88,7,3,0,2
25.0,61,74,53,71,10,0,0,0
38.4,42,139,48,69,8,0,0,2
20.0,68,88,38,115,6,0,1,0
33.8,89,48,67,101,2,0,1,1
31.0,56,52,58,84,9,0,0,1
22.7,58,73,21,49,3,0,0,0
30.2,76,7,34,110,6,1,1,1
20.9,52,50,62,94,1,0,0,0
39.9,44,42,45,44,4,0,0,2
35.5,41,37,52,114,9,3,0,1
32.3,54,189,64,66,6,0,0,1
19.8,58,42,63,116,6,0,0,0
31.9,64,149,20,100,6,0,0,1
21.7,91,129,65,46,2,0,2,0
18.4,53,128,27,56,4,0,0,0
35.3,84,60,48,105,7,0,2,1
21.3,49,143,63,118,9,0,0,0
24.3,88,107,67,57,9,0,2,0
25.8,68,89,35,90,12,0,1,0
28.3,87,81,42,42,9,0,2,0
20.1,53,37,73,115,8,1,0,0
24.4,94,119,70,77,2,0,2,0
38.1,42,103,56,114,11,0,0,2
18.2,40,67,23,60,11,0,0,0
23.6,94,174,69,77,7,0,2,0
36.8,84,18,71,43,11,3,1,2
36.4,51,69,70,52,10,0,0,2
22.9,85,21,65,98,1,1,1,0
33.9,82,34,25,112,2,2,1,1
30.0,89,110,25,105,8,0,2,0
29.2,50,159,35,54,1,0,0,0
20.4,70,178,53,57,2,0,1,0
18.5,90,14,41,48,2,1,1,0
27.6,92,66,66,82,1,0,2,0
38.4,45,65,60,41,3,0,0,2
30.6,62,75,29,97,11,0,0,1
24.6,47,46,32,58,5,0,0,0
38.2,66,87,55,117,12,0,1,2
22.6,93,4,42,71,10,1,1,0
21.5,68,102,56,89,10,0,1,0
23.9,88,125,72,87,5,0,2,0
18.5,67,104,76,88,12,0,1,0
36.7,63,17,39,43,9,3,0,2
34.4,84,17,51,101,2,1,1,1
20.1,84,161,32,65,1,0,2,0
39.9,84,11,51,55,1,3,1,2
36.9,80,119,26,40,7,0,1,2
28.5,63,126,55,87,6,0,0,0
32.0,63,41,79,75,9,0,0,1
18.5,65,138,56,96,6,0,0,0
30.6,95,10,34,105,3,1,1,1
41.0,50,155,45,105,7,0,0,2
36.6,66,35,34,51,10,3,1,2
37.0,53,191,50,108,3,0,0,2
40.7,72,145,55,52,10,0,1,2
23.7,88,129,53,75,6,0,2,0
33.3,41,147,50,63,7,0,0,1
27.4,69,66,40,81,1,0,1,0
35.0,90,69,32,77,6,0,2,1
38.9,83,155,25,66,3,0,2,2
18.6,74,68,75,95,4,0,1,0
25.9,62,191,36,120,12,0,0,0
41.1,50,190,65,115,9,0,0,2
19.8,67,178,69,104,2,0,1,0
28.6,49,147,49,70,1,0,0,0
25.4,88,91,36,95,4,0,2,0
18.9,49,51,26,44,12,0,0,0
39.5,46,58,74,50,8,0,0,2
40.2,85,132,26,117,7,0,2,2
27.1,76,61,40,54,5,0,1,0
34.4,57,109,42,73,9,0,0,1
18.5,53,81,36,71,5,0,0,0
35.1,81,8,29,56,2,3,1,1
21.2,57,87,65,108,8,0,0,0
32.3,87,14,39,106,5,1,1,1
32.0,47,174,76,86,1,0,0,1
19.6,50,96,22,114,6,0,0,0
35.3,90,15,32,80,3,3,1,1
22.0,56,180,52,57,1,0,0,0
23.4,79,101,45,120,10,0,1,0
35.0,46,107,59,52,4,0,0,1
29.9,42,134,25,49,4,0,0,0
33.3,62,16,59,75,3,1,0,1
22.5,78,148,69,59,5,0,1,0
19.4,76,105,58,92,9,0,1,0
19.8,49,65,50,66,4,0,0,0
32.2,86,105,28,61,10,0,2,1
27.7,45,103,21,50,12,0,0,0
27.6,68,83,65,65,10,0,1,0
25.7,41,187,25,44,3,0,0,0
27.5,93,40,40,76,1,1,1,0
24.0,91,87,46,105,10,0,2,0
32.5,73,176,31,113,8,0,1,1
20.3,85,192,27,108,10,0,2,0
25.2,58,143,58,108,12,0,0,0
28.6,57,128,26,118,1,0,0,0
25.5,66,96,21,58,10,0,1,0
41.1,67,159,67,71,4,0,1,2
18.9,93,11,36,108,11,1,1,0
40.5,47,10,61,81,10,3,0,2
32.7,55,73,53,64,9,0,0,1
38.1,54,22,43,113,3,3,0,2
29.0,73,115,27,48,5,0,1,0
22.1,69,2,25,72,4,2,1,0
39.0,40,31,63,66,5,3,0,2
31.0,79,73,55,97,11,0,1,1
39.1,79,51,32,85,8,0,1,2
33.6,84,129,43,96,3,0,2,1
25.5,72,165,55,113,1,0,1,0
32.2,80,127,51,56,1,0,1,1
33.0,61,87,41,91,11,0,0,1
35.6,79,17,71,95,2,3,1,1
36.4,93,164,43,92,2,0,2,2
37.2,56,161,77,96,11,0,0,2
32.6,76,0,53,75,2,1,1,1
30.7,70,144,35,42,1,0,1,1
37.0,55,101,31,62,2,0,0,2
19.9,40,132,40,77,3,0,0,0
39.0,80,130,52,96,7,0,1,2
30.8,84,64,72,111,7,0,2,1
20.5,92,110,20,113,2,0,2,0
18.7,91,149,22,58,3,0,2,0
19.0,93,58,79,70,12,0,2,0
25.5,68,25,28,90,3,2,1,0
34.5,54,32,50,95,7,1,0,1
38.0,91,148,80,97,10,0,2,2
37.0,50,190,53,62,10,0,0,2
41.9,94,34,34,94,8,3,1,2
40.2,57,3,49,71,5,3,0,2
33.4,95,114,34,75,3,0,2,1
27.2,84,148,71,63,9,0,2,0
26.1,84,198,23,119,12,0,2,0
33.4,89,96,34,55,7,0,2,1
33.9,79,8,26,65,11,2,1,1
27.9,76,80,29,91,1,0,1,0
22.4,42,55,50,97,3,0,0,0
40.7,89,16,78,106,12,3,1,2
34.1,41,97,29,60,2,0,0,1
18.2,78,158,41,94,11,0,1,0
30.4,45,78,34,97,10,0,0,1
19.7,41,34,25,74,9,2,0,0
20.4,70,68,52,68,12,0,1,0
21.0,70,80,33,45,3,0,1,0
18.8,51,128,23,114,10,0,0,0
20.2,43,192,38,109,2,0,0,0
29.1,91,95,26,40,1,0,2,0
32.8,47,120,21,91,8,0,0,1
31.0,59,71,34,100,6,0,0,1
26.8,41,0,56,105,12,1,0,0
32.9,58,59,27,73,12,0,0,1
36.0,65,158,30,81,5,0,0,1
38.5,75,188,56,86,8,0,1,2
20.1,44,96,51,70,9,0,0,0
31.4,62,186,74,101,1,0,0,1
34.7,90,88,22,76,5,0,2,1
32.5,70,144,73,101,1,0,1,1
29.2,81,91,58,74,5,0,2,0
39.1,65,79,76,56,9,0,0,2
23.7,90,164,34,70,8,0,2,0
36.0,58,32,31,66,12,3,0,1
32.0,76,45,52,53,8,0,1,1
22.3,49,95,72,65,11,0,0,0
18.6,47,148,25,78,10,0,0,0
31.0,71,123,30,75,7,0,1,1
29.0,42,172,52,46,11,0,0,0
26.4,93,131,34,88,7,0,2,0
20.0,55,142,49,85,9,0,0,0
36.4,78,30,46,67,1,3,1,2
28.3,80,56,74,87,5,0,1,0
26.8,52,6,38,106,1,1,0,0
20.1,74,108,71,114,2,0,1,0
33.9,51,199,39,95,12,0,0,1
32.8,65,130,33,53,9,0,0,1
37.0,81,69,64,42,6,0,2,2
22.7,68,187,55,77,5,0,1,0
20.1,45,168,52,62,10,0,0,0
24.8,75,143,79,43,4,0,1,0
27.4,50,119,78,115,11,0,0,0
34.6,79,58,44,78,9,0,1,1
21.6,70,54,34,68,9,0,1,0
18.1,42,90,79,83,11,0,0,0
22.7,72,106,47,112,11,0,1,0
37.7,88,111,34,58,9,0,2,2
18.4,76,116,40,57,3,0,1,0
30.6,95,151,29,44,7,0,2,1
20.8,82,149,61,84,1,0,2,0
25.1,94,155,24,105,3,0,2,0
38.2,87,108,33,65,6,0,2,2
27.4,54,171,54,111,5,0,0,0
35.7,52,143,48,89,7,0,0,1
39.5,60,135,33,73,5,0,0,2
22.4,40,75,23,88,12,0,0,0
36.9,94,155,80,83,5,0,2,2
37.3,76,96,35,108,12,0,1,2
31.6,65,101,55,102,4,0,0,1
40.2,44,50,35,112,10,0,0,2
35.9,48,40,28,77,8,3,0,1
36.2,69,36,57,86,12,3,1,2
20.9,84,113,34,99,9,0,2,0
29.4,73,169,64,108,8,0,1,0
25.0,50,165,55,65,5,0,0,0
23.5,94,2,22,44,11,2,1,0
40.2,41,75,37,99,6,0,0,2
41.4,75,47,40,47,2,0,1,2
27.5,80,121,68,105,4,0,1,0
36.3,68,151,20,81,12,0,1,2
29.6,83,32,64,80,5,1,1,0
18.9,95,56,78,85,6,0,2,0
20.2,64,151,20,107,5,0,0,0
18.9,90,154,31,108,7,0,2,0
19.2,46,85,68,42,4,0,0,0
22.2,50,191,80,56,6,0,0,0
33.9,53,79,53,56,7,0,0,1
18.8,56,66,44,108,7,0,0,0
35.0,45,53,44,58,1,0,0,1
22.4,87,31,58,84,8,1,1,0
18.7,53,24,20,55,9,2,0,0
30.1,92,170,47,60,4,0,2,1
28.6,67,109,54,66,11,0,1,0
32.9,86,153,34,75,5,0,2,1
21.6,41,142,67,109,6,0,0,0
20.5,75,117,21,54,12,0,1,0
24.3,90,152,68,83,8,0,2,0
22.3,87,198,65,48,8,0,2,0
39.2,94,93,21,63,11,0,2,2
20.6,80,144,40,64,12,0,1,0
31.6,40,46,75,62,3,0,0,1
27.2,81,93,71,112,1,0,2,0
36.2,70,78,71,78,6,0,1,2
40.9,94,143,72,83,6,0,2,2
21.1,70,39,47,79,6,1,1,0
28.0,59,164,63,91,12,0,0,0
19.0,59,134,56,45,5,0,0,0
26.8,40,130,35,88,11,0,0,0
27.3,89,58,58,81,5,0,2,0
19.5,83,67,73,118,7,0,2,0
41.1,71,102,45,110,4,0,1,2
20.5,91,31,60,62,12,1,1,0
32.5,78,163,43,52,12,0,1,1
31.3,70,44,57,49,8,0,1,1
29.9,47,90,39,61,12,0,0,0
32.0,52,154,36,92,10,0,0,1
41.6,71,139,30,101,8,0,1,2
27.3,95,121,66,87,3,0,2,0
40.3,91,73,29,71,2,0,2,2
32.8,76,165,47,75,9,0,1,1
34.5,83,91,60,104,1,0,2,1
21.0,81,85,72,98,11,0,2,0
29.3,80,131,75,83,12,0,1,0
23.3,94,115,21,73,9,0,2,0
31.9,47,146,34,101,9,0,0,1
20.9,78,75,45,43,3,0,1,0
22.3,74,7,75,65,8,1,1,0
27.2,84,101,45,104,2,0,2,0
38.4,41,172,26,73,7,0,0,2
39.1,81,195,78,96,4,0,2,2
33.8,72,115,41,115,4,0,1,1
30.1,71,54,75,113,2,0,1,1
31.6,68,116,62,45,4,0,1,1
41.6,87,34,79,56,6,3,1,2
36.3,93,177,21,79,4,0,2,2
20.4,63,44,70,106,1,0,0,0
24.4,51,187,68,58,8,0,0,0
38.2,88,102,20,79,10,0,2,2
27.6,47,53,31,69,11,0,0,0
37.8,63,144,23,101,12,0,0,2
20.5,44,61,80,86,6,0,0,0
30.8,80,3,34,64,1,1,1,1
18.0,66,173,57,100,7,0,1,0
38.2,61,54,60,47,6,0,0,2
30.0,83,15,28,52,6,2,1,0
19.7,58,100,25,61,8,0,0,0
41.4,47,8,58,114,12,3,0,2
30.6,61,142,46,91,1,0,0,1
19.6,47,86,51,90,4,0,0,0
24.3,77,76,63,62,9,0,1,0
30.6,56,108,26,87,6,0,0,1
21.5,74,6,67,100,5,1,1,0
31.1,59,49,23,104,3,0,0,1
18.8,64,85,74,116,12,0,0,0
21.0,65,196,28,100,9,0,0,0
30.5,55,142,46,104,1,0,0,1
27.1,58,183,20,105,2,0,0,0
21.7,86,142,39,115,12,0,2,0
24.4,79,28,43,43,8,1,1,0
18.6,46,107,47,55,1,0,0,0
27.4,78,3,55,108,8,1,1,0
38.0,80,113,70,44,12,0,1,2
33.9,75,145,53,78,6,0,1,1
38.0,92,125,26,107,9,0,2,2
18.4,72,81,40,107,9,0,1,0
33.0,84,120,57,94,8,0,2,1
26.1,41,84,54,80,12,0,0,0
32.8,40,63,66,73,8,0,0,1
26.4,46,164,65,106,12,0,0,0
38.2,69,146,45,71,7,0,1,2
23.3,75,163,40,82,3,0,1,0
27.1,47,46,40,112,2,0,0,0
35.5,68,167,49,58,1,0,1,1
27.9,40,38,43,62,12,1,0,0
24.5,86,88,42,114,11,0,2,0
41.7,74,33,51,115,6,3,1,2
27.6,54,138,67,51,11,0,0,0
38.5,48,144,37,116,6,0,0,2
37.1,58,78,44,113,8,0,0,2
34.6,93,107,66,115,12,0,2,1
26.1,42,170,47,79,5,0,0,0
25.6,63,159,55,44,2,0,0,0
18.6,77,84,39,43,11,0,1,0
22.0,91,126,52,55,6,0,2,0
36.6,66,197,51,61,8,0,1,2
26.6,74,154,39,112,7,0,1,0
20.0,72,120,35,114,11,0,1,0
40.9,93,168,71,119,11,0,2,2
30.3,67,7,42,68,4,1,1,1
34.2,50,114,41,92,6,0,0,1
29.6,92,155,54,73,2,0,2,0
40.9,71,143,48,52,5,0,1,2
32.3,83,75,73,78,8,0,2,1
22.1,62,84,42,119,12,0,0,0
30.5,58,123,37,113,10,0,0,1
41.1,47,139,54,62,11,0,0,2
38.3,88,112,54,53,11,0,2,2
31.7,40,155,66,82,9,0,0,1
30.5,51,197,20,91,2,0,0,1
29.7,86,138,65,49,9,0,2,0
24.0,79,107,55,66,11,0,1,0
38.8,66,63,26,52,10,0,1,2
36.2,76,56,79,116,2,0,1,2
24.1,47,156,52,106,8,0,0,0
40.9,45,175,34,105,6,0,0,2
33.7,52,49,26,87,8,0,0,1
35.5,84,14,79,46,1,3,1,1
33.6,44,63,34,81,6,0,0,1
24.8,72,176,50,42,6,0,1,0
36.5,70,156,27,112,9,0,1,2
18.7,58,87,31,64,9,0,0,0
36.0,50,111,30,79,6,0,0,1
27.2,69,188,35,114,7,0,1,0
23.6,46,186,40,75,12,0,0,0
36.6,92,115,63,51,6,0,2,2
31.4,54,7,74,40,10,1,0,1
28.9,78,140,70,108,11,0,1,0
38.8,56,168,53,44,8,0,0,2
36.0,92,45,37,103,9,0,1,1
29.6,95,130,68,117,12,0,2,0
38.8,50,163,53,90,9,0,0,2
41.8,71,187,23,96,9,0,1,2
36.5,82,178,38,50,7,0,2,2
29.1,69,121,24,49,1,0,1,0
25.4,95,148,65,90,12,0,2,0
27.7,83,165,73,107,5,0,2,0
19.0,73,124,34,99,11,0,1,0
21.7,52,77,42,90,6,0,0,0
24.8,58,182,72,72,9,0,0,0
27.7,54,126,32,65,1,0,0,0
33.0,52,104,54,97,10,0,0,1
24.4,52,32,29,68,5,2,0,0
34.8,85,144,51,42,3,0,2,1
28.7,72,69,31,69,8,0,1,0
24.2,53,56,74,41,10,0,0,0
18.5,46,40,61,87,7,1,0,0
38.1,48,55,68,68,7,0,0,2
22.1,74,123,41,70,6,0,1,0
41.2,54,40,76,66,9,3,0,2
23.1,58,19,54,74,10,1,0,0
21.1,55,150,31,101,2,0,0,0
34.2,60,100,65,86,11,0,0,1
33.8,95,70,69,89,8,0,2,1
22.8,90,160,32,47,2,0,2,0
25.7,46,149,61,94,2,0,0,0
34.0,86,62,71,45,10,0,2,1
30.9,78,137,65,73,8,0,1,1
23.6,83,148,28,71,10,0,2,0
27.5,44,112,57,82,2,0,0,0
38.7,73,54,54,81,5,0,1,2
28.2,47,16,55,44,5,1,0,0
28.5,41,175,30,60,3,0,0,0
40.3,47,15,79,92,2,3,0,2
29.8,40,61,48,91,5,0,0,0
27.8,68,149,56,67,2,0,1,0
36.9,49,144,46,63,3,0,0,2
29.9,51,50,45,82,4,0,0,0
34.8,56,184,77,84,3,0,0,1
20.3,55,188,49,106,9,0,0,0
38.4,56,113,26,80,12,0,0,2
22.1,87,106,34,94,5,0,2,0
37.2,62,69,52,89,3,0,0,2
18.4,57,81,75,49,8,0,0,0
34.0,53,94,46,55,10,0,0,1
27.0,68,23,21,90,7,2,1,0
22.6,83,118,73,98,9,0,2,0
37.0,92,96,38,70,6,0,2,2
27.6,82,60,80,58,10,0,2,0
39.7,92,32,24,115,9,3,1,2
24.4,63,98,30,120,9,0,0,0
18.1,83,158,42,66,7,0,2,0
30.2,84,146,74,87,11,0,2,1
26.7,70,124,64,44,1,0,1,0
39.8,84,101,61,88,2,0,2,2
23.0,88,100,69,71,1,0,2,0
41.6,76,142,72,85,9,0,1,2
33.7,82,187,65,112,6,0,2,1
25.6,50,39,65,96,11,1,0,0
27.9,43,10,42,68,9,1,0,0
25.0,78,118,21,62,11,0,1,0
18.3,84,76,80,88,2,0,2,0
26.8,62,169,68,43,10,0,0,0
18.7,94,9,37,44,12,1,1,0
18.1,72,189,28,77,1,0,1,0
24.6,46,183,30,77,4,0,0,0
